Sequencing.Run,Group,Library,Estimated.Bases.Gb,Reads.Generated.M,Estimated.N50.b,Reads.Called.Pass.M,Reads.Called.Fail.M,Bases.Called.Pass.Gb,Bases.Called.Fail.Gb,Run.time.hr,Sequencer
Group1_Library4,1,4,7.56,10.04,687,8.97,1.09,5.39,0.76981,76.36666667,MK1D
Group2_Library2_pre_update,2,2,3.17,3.79,409,3.32,0.48306,1.31,0.33779,39.88333333,MK1D
Group2_Library2_post_update,2,2,0.59955,0.72859,409,0.62517,0.10425,0.2452,0.06645,37.41666667,MK1D
Group2_Library3_pre_wash2,2,3,3.16,3.82,405,3.4,0.43129,1.32,0.31504,30.15,Mk1B
Group2_Library3_post_wash2,2,3,0.00152,0.000468,473,0.000402,0.000067,0.0001693,0.00039723,16.16666667,Mk1B
Group4_Library1_pre_wash3,4,1,1.8,2.12,299,1.79,0.34319,0.55002,0.25455,51.05,MK1D
Group4_Library1_post_wash3,4,1,0.09542,0.12762,299,0.09765,0.03039,0.03023,0.01695,18.51666667,MK1D
Group4_Library2,4,2,1.93,2.09,346,1.73,0.36903,0.602,0.27318,74.33333333,Mk1B
