name	rank	mean_percent	total_reads
Sordariales	O	0.13857142857142857	9
Sordariales incertae sedis	O1	0.08499999999999999	2
Sordariomycetes	C	0.2316666666666667	37
Sordariomycetidae	C1	0.14222222222222222	12
Sporisorium	G	0.26	1
Sporisorium graminicola	S	0.26	1
Stenosarchaea group	P1	0.21	1
Talaromyces	G	0.13	1
Talaromyces rugulosus	S	0.13	1
Talaromyces sect. Islandici	G1	0.13	1
Teleostomi	P4	0.20166666666666666	23
Tetrapoda	P8	0.20166666666666666	23
Theria	C1	0.20166666666666666	23
Thermoproteati	K	1.37	2
Thermothielavioides	G	0.12	1
Thermothielavioides terrestris	S	0.12	1
Thermothielavioides terrestris NRRL 8126	S1	0.12	1
Tremellales	O	0.196	11
Tremellomycetes	C	0.196	11
Trichocomaceae	F	0.13	1
Ustilaginaceae	F	0.26	1
Ustilaginales	O	0.26	1
Ustilaginomycetes	C	0.26	1
Ustilaginomycotina	P1	0.26	1
Vertebrata	P2	0.20166666666666666	23
cellular organisms	R1	81.159125	34595
dothideomyceta	P4	0.09	3
leotiomyceta	P3	0.23724137931034484	47
root	R	81.159125	34595
saccharomyceta	P1	0.2735294117647059	62
sordariomyceta	P4	0.2316666666666667	37
unclassified	U	18.840875	7280
unclassified Nitrosarchaeum	G1	2.56	1
