specimen_id,year_collected,age_group,n_bams_merged,total_reads,n_pileup_positions
USNM_1606826,2019,Modern,1,1579542,122103953
USNM_1740336,2019,Modern,1,1856788,127279359
USNM_1740363,2019,Modern,1,3244592,193974639
USNM_51861,1960,Historic_60yr,2,1267539,70581476
USNM_51892,1960,Historic_60yr,2,1687554,84363147
USNM_51732,1960,Historic_60yr,2,1311434,80285033
USNM_50368,1880,Historic_100yr,2,312720,15115595
USNM_42137,1898,Historic_100yr,2,345250,16457764
USNM_14399,1886,Historic_100yr,2,980586,46754475
