specimen_id	total_reads	total_bases	mapped_reads	mapped_bases	avg_read_length	max_read_length	avg_quality
USNM_14399	sequences:	253380552	980586	253380552	258	292176	27.9
USNM_1606826	sequences:	816444871	1579542	816444871	517	405812	30.2
USNM_1740336	sequences:	835964905	1856788	835964905	450	635194	29.9
USNM_1740363	sequences:	1806427349	3244592	1806427349	557	1350671	30.3
USNM_42137	sequences:	81899916	345250	81899916	237	501909	26.3
USNM_50368	sequences:	75603529	312720	75603529	242	351578	26.3
USNM_51732	sequences:	437353191	1311434	437353191	333	781018	32.0
USNM_51861	sequences:	373493752	1267539	373493752	295	604368	29.1
USNM_51892	sequences:	485476690	1687554	485476690	288	772559	29.4
